"Weight set: ","[0.0, 0.0, 1.0, 0.0]"
"kegg","intpathway","LCS","Normalized LCS","Gene Agreement","GenePair Agreement","Score"
"nucleotide_sugar_biosynthesis,_glucose_=>_udp-glucose","purine_metabolism","9","0.211","0.334","0.012","0.012"
"origin_recognition_complex","purine_metabolism","8","0.184","0.199","0.003","0.003"
"ornithine_biosynthesis,_glutamate_=>_ornithine","purine_metabolism","10","0.237","0.137","0.001","0.001"
"p97-ufd1-npl4_complex","purine_metabolism","6","0.132","0.105","0.001","0.001"
"pentose_phosphate_pathway,_non-oxidative_phase,_fructose_6p_=>_ribose_5p","purine_metabolism","10","0.237","0.199","0.003","0.003"
"pentose_phosphate_pathway,_oxidative_phase,_glucose_6p_=>_ribulose_5p","purine_metabolism","11","0.263","0.228","0.005","0.005"
"pentose_phosphate_pathway_(pentose_phosphate_cycle)","purine_metabolism","9","0.211","0.404","0.020","0.020"
"phenylalanine_biosynthesis,_chorismate_=>_phenylalanine","purine_metabolism","10","0.237","0.105","0.001","0.001"
"phosphatidylcholine_(pc)_biosynthesis,_choline_=>_pc","purine_metabolism","9","0.211","0.105","0.001","0.001"
"phosphatidylcholine_(pc)_biosynthesis,_pe_=>_pc","purine_metabolism","9","0.211","0.071","0.000","0.000"
"phosphatidylethanolamine_(pe)_biosynthesis,_ethanolamine_=>_pe","purine_metabolism","11","0.263","0.105","0.001","0.001"
"phosphatidylethanolamine_(pe)_biosynthesis,_pa_=>_ps_=>_pe","purine_metabolism","10","0.237","0.137","0.001","0.001"
"polyamine_biosynthesis,_arginine_=>_ornithine_=>_putrescine","purine_metabolism","10","0.237","0.071","0.000","0.000"
"proline_biosynthesis,_glutamate_=>_proline","purine_metabolism","12","0.289","0.137","0.001","0.001"
"proteasome,_19s_regulatory_particle_(pa700)","purine_metabolism","8","0.184","0.505","0.037","0.037"
"proteasome,_20s_core_particle","purine_metabolism","7","0.158","0.404","0.020","0.020"
"prpp_biosynthesis,_ribose_5p_=>_prpp","purine_metabolism","9","0.211","0.168","0.002","0.002"
"pyrimidine_ribonucleotide_biosynthesis,_ump_=>_udp/utp,cdp/ctp","purine_metabolism","13","0.316","0.137","0.001","0.001"
"pyruvate_oxidation,_pyruvate_=>_acetyl-coa","purine_metabolism","9","0.211","0.168","0.002","0.002"
"rf-c_complex","purine_metabolism","4","0.079","0.168","0.002","0.002"
"ribosome,_eukaryotes","purine_metabolism","8","0.184","0.995","0.883","0.883"
